time,time,time,solar_irradiance
2016,12,9,1.2513170846
2016,12,10,0.11863333555
2016,12,12,0.11468917475
2016,12,13,0.0
2017,1,1,0.010370204774999999
2017,1,2,2.01807216015
2017,1,3,1.502902296225
2017,1,4,0.459939760525
2017,1,5,1.3958190675
2017,1,6,0.3337838332
2017,1,7,0.492108143925
2017,1,8,1.279013334525
2017,1,9,2.032567304275
2017,1,10,2.2495912706
2017,1,11,0.4716647725
2017,1,12,0.103432693125
2017,1,13,1.568639376675
2017,1,14,2.32017189305
2017,1,15,1.794993715075
2017,1,16,1.369166393725
2017,1,17,2.154563441575
2017,1,18,2.0543690359
2017,1,19,0.589445022275
2017,1,20,0.632020042275
2017,1,21,0.506451634825
2017,1,22,0.8158384306500001
2017,1,23,2.64573457745
2017,1,24,0.266292990325
2017,1,25,0.561392340525
2017,1,26,1.1221017414
2017,1,27,0.881890916125
2017,1,28,2.4620372239
2017,1,29,0.922075240025
2017,1,30,2.0474856888
2017,1,31,2.5192571038750002
2017,2,1,1.5122601766750001
2017,2,2,2.249464430325
2017,2,3,3.042352298925
2017,2,4,2.85328877885
2017,2,5,1.507911811675
2017,2,6,2.80021163225
2017,2,7,2.963747098175
2017,2,8,0.341719340325
2017,2,9,2.1173686078
2017,2,10,1.6152168079
2017,2,11,1.902569878075
2017,2,12,3.13680335885
2017,2,13,0.367688151275
2017,2,14,1.131000692925
2017,2,15,1.888112042225
2017,2,16,1.693985104025
2017,2,17,1.878434212625
2017,2,18,2.658546568575
2017,2,19,1.90881517705
2017,2,20,1.829327431375
2017,2,21,4.270605059225
2017,2,22,2.99890758685
2017,2,23,3.3272512535
2017,2,24,3.728967317475
2017,2,25,2.00540095
2017,2,26,1.791370117375
2017,2,27,4.366589808775
2017,2,28,4.237004109325
2017,3,1,0.70402117305
2017,3,2,0.913411174
2017,3,3,2.2291348312
2017,3,4,3.960873004675
2017,3,5,4.8515877267
2017,3,6,4.75098864055
2017,3,7,4.00698223275
2017,3,8,0.402651467875
2017,3,9,1.9606501626500001
2017,3,10,3.95601691335
2017,3,11,3.6808331749
2017,3,12,4.8037828387
2017,3,13,5.50042109675
2017,3,14,2.2132637357
2017,3,15,1.3905841845
2017,3,16,2.35070548325
2017,3,17,3.13098628495
2017,3,18,4.400691261025
2017,3,19,2.754400957975
2017,3,20,3.427872899175
2017,3,21,2.3800981855
2017,3,22,1.5011925705
2017,3,23,4.9337669818
2017,3,24,3.842117618275
2017,3,25,4.1079735625
2017,3,26,6.6010846184
2017,3,27,1.7412895658
2017,3,28,2.41013909815
2017,3,29,1.815052010425
2017,3,30,3.190471251475
2017,3,31,5.775849203375
2017,4,1,4.674564895075
2017,4,2,3.6250788919
2017,4,3,6.598911587475
2017,4,4,5.8827205636
2017,4,5,2.88318148525
2017,4,6,2.9965064295
2017,4,7,4.157288149325
2017,4,8,2.403673737475
2017,4,9,4.625099448275
2017,4,10,4.852288393025
2017,4,11,5.71549635805
2017,4,12,5.921703992
2017,4,13,6.5034389979
2017,4,14,5.8589194007000005
2017,4,15,7.14994840165
2017,4,16,1.0060034511
2017,4,17,1.66792737875
2017,4,18,6.283510271075
2017,4,19,7.488054433125
2017,4,20,2.901196385775
2017,4,21,6.0377416958
2017,4,22,3.01175325805
2017,4,23,2.5456857250000002
2017,4,24,4.722743792625
2017,4,25,7.02716181545
2017,4,26,1.835507534275
2017,4,27,2.361390948075
2017,4,28,2.572902318025
2017,4,29,2.0477063085
2017,4,30,7.9309418987499996
2017,5,1,1.99948933845
2017,5,2,1.27398973045
2017,5,3,6.7701101041000005
2017,5,4,8.4893460739
2017,5,5,4.776122910025
2017,5,6,1.1798692167
2017,5,7,6.30576525175
2017,5,8,6.330878394
2017,5,9,2.523387380175
2017,5,10,4.159524538625
2017,5,11,2.90923490455
2017,5,12,7.162582709575
2017,5,13,8.44318279915
2017,5,14,6.565550244325
2017,5,15,2.3663626591
2017,5,16,3.386846459375
2017,5,17,6.686079861
2017,5,18,7.68927122675
2017,5,19,5.6712581725
2017,5,20,6.469975039025
2017,5,21,9.189104259375
2017,5,22,6.99757865295
2017,5,23,1.59843297875
2017,5,24,4.960920750125
2017,5,25,5.3486558455
2017,5,26,0.837127897675
2017,5,27,2.167475474
2017,5,28,8.254496648349999
2017,5,29,4.5049550557749996
2017,5,30,8.31813111015
2017,5,31,4.7537872237
2017,6,1,4.958615527275
2017,6,2,6.4825556330000005
2017,6,3,6.089959586525
2017,6,4,3.660149493325
2017,6,5,4.90137274125
2017,6,6,5.36122723975
2017,6,7,9.05983382825
2017,6,8,8.97612059655
2017,6,9,1.365328378675
2017,6,10,9.441231559575
2017,6,11,7.805146981
2017,6,12,7.493331501025
2017,6,13,7.12978950775
2017,6,14,7.9460839889
2017,6,15,5.7758217325
2017,6,16,6.0672881183000005
2017,6,17,1.704064539025
2017,6,18,3.4132999757499998
2017,6,19,1.7683762049
2017,6,20,1.5075494565
2017,6,21,7.4865687735
2017,6,22,8.76078177675
2017,6,23,4.224853724075
2017,6,24,0.84074213535
2017,6,25,9.147032463425
2017,6,26,8.573107318975
2017,6,27,7.39784116285
2017,6,28,6.645675017025
2017,6,29,7.4346958461
2017,6,30,0.8966101814999999
2017,7,1,0.8793787492
2017,7,2,1.27056754935
2017,7,3,8.470386343375
2017,7,4,7.03262222295
2017,7,5,9.07353336375
2017,7,6,8.777884781825
2017,7,7,7.02431506975
2017,7,8,5.418520857575
2017,7,9,4.33737440935
2017,7,10,7.26424809505
2017,7,11,4.4206607392
2017,7,12,4.84457357625
2017,7,13,2.14921084945
2017,7,14,8.84345882925
2017,7,15,6.0933657608
2017,7,16,6.32155133825
2017,7,17,7.2815478607
2017,7,18,5.072334467525
2017,7,19,3.531587723625
2017,7,20,6.583134699675
2017,7,21,6.4178268049
2017,7,22,7.7060476173
2017,7,23,8.771306156175
2017,7,24,5.299062789075
2017,7,25,3.155288203825
2017,7,26,8.13301135635
2017,7,27,3.548997473025
2017,7,28,2.05054980165
2017,7,29,7.034572308625
2017,7,30,6.41920380725
2017,7,31,8.205690953625
2017,8,1,8.0537658571
2017,8,2,8.14554292645
2017,8,3,6.0163069211749995
2017,8,4,7.171672515875
2017,8,5,6.1218406776
2017,8,6,3.241800341875
2017,8,7,8.06099394875
2017,8,8,1.24683169545
2017,8,9,7.3976710656
2017,8,10,7.27622828825
2017,8,11,6.4481335354
2017,8,12,1.341151632825
2017,8,13,2.30583779405
2017,8,14,7.139549249825
2017,8,15,7.1006131515
2017,8,16,4.367078094275
2017,8,17,6.641575909075
2017,8,18,5.269015137575
2017,8,19,0.618603145
2017,8,20,2.77263239865
2017,8,21,6.361374047
2017,8,22,6.45385228175
2017,8,23,1.276942881175
2017,8,24,7.2027014189
2017,8,25,7.03796999815
2017,8,26,6.9903056007
2017,8,27,5.1320005179
2017,8,28,7.149153221
2017,8,29,6.7568322885
2017,8,30,2.380972181375
2017,8,31,5.884901078925
2017,9,1,6.340332820275
2017,9,2,3.82058926275
2017,9,3,4.02208131975
2017,9,4,2.8414854222
2017,9,5,4.4373290445
2017,9,6,5.614944234175
2017,9,7,1.008882167075
2017,9,8,5.541608577
2017,9,9,5.9208177914
2017,9,10,4.67640420045
2017,9,11,3.8482778285
2017,9,12,5.659419173525
2017,9,13,6.0678877855
2017,9,14,5.75123122125
2017,9,15,5.143736516775
2017,9,16,1.962336843875
2017,9,17,1.52875660015
2017,9,18,1.575495953075
2017,9,19,1.38734466045
2017,9,20,2.9849367247250003
2017,9,21,5.31392136425
2017,9,22,5.50912405575
2017,9,23,2.814721053325
2017,9,24,4.782178763075
2017,9,25,4.963667121125
2017,9,26,3.512386771
2017,9,27,1.362005780275
2017,9,28,1.606768354175
2017,9,29,3.587334072075
2017,9,30,3.726306364775
2017,10,1,5.2214690201
2017,10,2,4.3444541148999996
2017,10,3,3.593180827925
2017,10,4,3.51276304
2017,10,5,4.39338835765
2017,10,6,2.571212270225
2017,10,7,4.39839867825
2017,10,8,2.321539590425
2017,10,9,2.090607271425
2017,10,10,1.21418196375
2017,10,11,4.53478211325
2017,10,12,4.4508686675749995
2017,10,13,4.415533983375
2017,10,14,0.916894969
2017,10,15,2.1486856921
2017,10,16,2.0749541529
2017,10,17,3.8184614038
2017,10,18,3.212095869175
2017,10,19,3.9229651145
2017,10,20,3.89978289095
2017,10,21,4.00767897025
2017,10,22,3.86988045675
2017,10,23,3.5784210933
2017,10,24,3.147483067625
2017,10,25,2.7188111045
2017,10,26,2.41700934975
2017,10,27,3.2111115919
2017,10,28,3.3980359025499998
2017,10,29,3.040099121675
2017,10,30,0.53155913505
2017,10,31,2.6539794725
2017,11,1,2.9631478696
2017,11,2,1.4672933767
2017,11,3,2.454609884975
2017,11,4,2.98348221275
2017,11,5,1.955318604625
2017,11,6,1.4589171865
2017,11,7,2.10488154125
2017,11,8,1.2053247840499999
2017,11,9,2.8985901688749998
2017,11,10,0.9622398950000001
2017,11,11,2.89296191325
2017,11,12,1.4925586052
2017,11,13,2.16824645205
2017,11,14,0.68210677315
2017,11,15,1.07406575325
2017,11,16,1.115106732675
2017,11,17,0.703673889975
2017,11,18,2.045589736525
2017,11,19,0.160842205525
2017,11,20,0.9927858053249999
2017,11,21,2.32642275875
2017,11,22,1.6605815586
2017,11,23,2.13877751545
2017,11,24,1.889909957025
2017,11,25,2.20971495415
2017,11,26,0.42790689745
2017,11,27,1.0563377275
2017,11,28,1.90339108045
2017,11,29,0.401759686325
2017,11,30,2.131220960275
2017,12,1,0.473989918175
2017,12,2,0.91849256775
2017,12,3,0.7263917553
2017,12,4,0.829551004125
2017,12,6,0.0
2017,12,7,0.164171083475
2017,12,8,1.184969945025
2017,12,9,0.54482805405
2017,12,10,0.6260270426
2017,12,11,0.325267766325
2017,12,12,0.1178986237
2017,12,13,0.34612604145
2017,12,14,0.71206811735
2017,12,15,1.72486574685
2017,12,16,1.1934171712500001
2017,12,17,1.9202200416
2017,12,18,0.97394263465
2017,12,19,0.3090596117
2017,12,20,1.963612602725
2017,12,21,1.82753805705
2017,12,22,1.65123704285
2017,12,23,0.5121978445250001
2017,12,24,1.721733639825
2017,12,25,0.31690986975
